Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
1,"Trout, Mike",LAA,OF,1.22,1,4,,135,,
2,"Betts, Mookie",BOS,OF,1.84,1,3,,135,,
3,"Ramirez, Jose",CLE,3B,4,2,8,,135,,
4,"Lindor, Francisco",CLE,SS,4.64,3,10,,135,,
5,"Martinez, J.D.",BOS,OF,6.32,3,12,,135,,
6,"Scherzer, Max",WAS,P,6.53,3,12,,135,,
7,"Yelich, Christian",MLW,OF,7.28,1,14,,135,,
8,"Acuna, Ronald",ATL,OF,8.09,3,18,,135,,
9,"Arenado, Nolan",COL,3B,8.81,4,15,,135,,
10,"Turner, Trea",WAS,SS,10.26,3,25,,135,,
11,"Bregman, Alex",HOU,"3B, SS",11.9,5,20,,135,,
12,"deGrom, Jacob",NYM,P,12.27,8,21,,135,,
13,"Baez, Javier",CHC,"2B, SS, 3B",14.04,6,24,,135,,
14,"Machado, Manny",LAD,SS,15.01,5,25,,135,,
15,"Altuve, Jose",HOU,2B,16.32,8,27,,135,,
16,"Sale, Chris",BOS,P,16.9,9,30,,135,,
17,"Harper, Bryce",WAS,OF,17.42,7,28,,135,,
18,"Judge, Aaron",NYY,OF,18.2,4,29,,135,,
19,"Story, Trevor",COL,SS,19.1,11,33,,135,,
20,"Goldschmidt, Paul",STL,1B,20.1,12,30,,135,,
21,"Freeman, Freddie",ATL,1B,21.06,12,30,,135,,
22,"Stanton, Giancarlo",NYY,OF,22.9,14,35,,135,,
23,"Nola, Aaron",PHI,P,23.22,12,32,,135,,
24,"Kluber, Corey",CLE,P,23.39,14,40,,135,,
25,"Verlander, Justin",HOU,P,23.47,14,39,,135,,
26,"Blackmon, Charlie",COL,OF,26.03,14,34,,135,,
27,"Cole, Gerrit",HOU,P,28.15,16,40,,135,,
28,"Snell, Blake",TB,P,28.43,3,40,,135,,
29,"Benintendi, Andrew",BOS,OF,29.72,15,44,,135,,
30,"Merrifield, Whit",KC,"2B, OF",30.73,15,47,,135,,
