Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
1,"Trout, Mike",LAA,OF,1.12,1,2,,162,,
2,"Betts, Mookie",BOS,OF,1.93,1,3,,162,,
3,"Ramirez, Jose",CLE,3B,3.84,1,8,,162,,
4,"Scherzer, Max",WAS,P,5.39,1,12,,162,,
5,"Martinez, J.D.",BOS,OF,5.6,2,10,,162,,
6,"Yelich, Christian",MLW,OF,7.45,3,17,,162,,
7,"Arenado, Nolan",COL,3B,7.56,3,14,,162,,
8,"Turner, Trea",WAS,SS,7.95,3,14,,162,,
9,"Acuna, Ronald",ATL,OF,9.18,3,18,,162,,
10,"Lindor, Francisco",CLE,SS,10.5,3,26,,162,,
11,"deGrom, Jacob",NYM,P,11.3,6,21,,162,,
12,"Bregman, Alex",HOU,"3B, SS",13.12,7,22,,162,,
13,"Sale, Chris",BOS,P,13.63,6,24,,162,,
14,"Altuve, Jose",HOU,2B,14.61,4,27,,162,,
15,"Baez, Javier",CHC,"2B, SS, 3B",16.22,8,25,,162,,
16,"Judge, Aaron",NYY,OF,16.62,6,29,,162,,
17,"Machado, Manny",SD,SS,16.75,6,30,,162,,
18,"Story, Trevor",COL,SS,17.97,8,31,,162,,
19,"Harper, Bryce",PHI,OF,18.64,8,28,,162,,
20,"Goldschmidt, Paul",STL,1B,19.38,12,30,,162,,
21,"Freeman, Freddie",ATL,1B,20.94,13,29,,162,,
22,"Verlander, Justin",HOU,P,21.28,11,36,,162,,
23,"Stanton, Giancarlo",NYY,OF,22.06,10,32,,162,,
24,"Kluber, Corey",CLE,P,23.54,13,33,,162,,
25,"Nola, Aaron",PHI,P,25.46,13,36,,162,,
26,"Cole, Gerrit",HOU,P,26.02,14,40,,162,,
27,"Blackmon, Charlie",COL,OF,27.43,15,41,,162,,
28,"Benintendi, Andrew",BOS,OF,28.9,17,36,,162,,
29,"Snell, Blake",TB,P,29.29,19,40,,162,,
30,"Merrifield, Whit",KC,"2B, OF",31.23,21,47,,162,,
31,"Bauer, Trevor",CLE,P,33.26,25,48,,162,,
32,"Bryant, Kris",CHC,"3B, OF",33.27,16,48,,162,,
33,"Soto, Juan",WAS,OF,33.83,19,48,,162,,
34,"Marte, Starling",PIT,OF,35.79,25,47,,162,,
35,"Rizzo, Anthony",CHC,1B,35.93,18,56,,162,,
36,"Severino, Luis",NYY,P,36.2,20,71,,162,,
37,"Carrasco, Carlos",CLE,P,38.06,28,58,,162,,
38,"Buehler, Walker",LAD,P,39.54,14,50,,162,,
39,"Guerrero, Jr., Vladimir",TOR,3B,39.78,17,60,,162,,
40,"Syndergaard, Noah",NYM,P,40.72,25,65,,162,,
41,"Hoskins, Rhys",PHI,OF,40.8,25,55,,162,,
42,"Mondesi, Adalberto",KC,SS,41.81,24,66,,162,,
43,"Davis, Khris",OAK,UT,43.07,25,58,,162,,
44,"Kershaw, Clayton",LAD,P,43.7,24,110,,162,,
45,"Rendon, Anthony",WAS,3B,43.73,30,60,,162,,
46,"Bellinger, Cody",LAD,"1B, OF",45.51,34,62,,162,,
47,"Bogaerts, Xander",BOS,SS,48.28,30,65,,162,,
48,"Correa, Carlos",HOU,SS,48.78,22,75,,162,,
49,"Diaz, Edwin",NYM,P,50.75,30,72,,162,,
50,"Corbin, Patrick",WAS,P,51.35,32,74,,162,,
51,"Realmuto, J.T.",PHI,C,52.2,30,79,,162,,
52,"Suarez, Eugenio",CIN,3B,54.25,33,80,,162,,
53,"Paxton, James",NYY,P,56.17,38,84,,162,,
54,"Pham, Tommy",TB,OF,56.96,40,78,,162,,
55,"Albies, Ozzie",ATL,2B,57.31,31,82,,162,,
56,"Sanchez, Gary",NYY,C,57.98,32,99,,162,,
57,"Taillon, Jameson",PIT,P,58.85,36,96,,162,,
58,"Strasburg, Stephen",WAS,P,59.94,43,83,,162,,
59,"Cain, Lorenzo",MLW,OF,61.27,48,83,,162,,
60,"Treinen, Blake",OAK,P,61.62,42,79,,162,,
61,"Torres, Gleyber",NYY,"2B, SS",62.68,25,96,,162,,
62,"Springer, George",HOU,OF,63.17,37,92,,162,,
63,"Flaherty, Jack",STL,P,63.43,47,96,,162,,
