name,status,age,team,pos,,,,,,,,,,,,,
Mike Trout,,25,LAA,OF,1,1,1,0,1,2,9.620426701,12.91726551,1.714652628,1.55913375,2.551047045,2.33955505,1.456038228
Mookie Betts,,24,BOS,OF,2,2,1,0,15,4,7.565619992,10.86245881,2.346022217,0.563440068,1.963803244,1.124430173,1.567924289
Jose Altuve,,26,HOU,2B,1,3,1,3.18634E-14,4,5,7.093935312,10.54103266,3.131814443,-0.571605736,1.766224238,0.145624514,2.621877853
Nolan Arenado,,25,COL,3B,1,4,1,9.86588E-10,5,7,6.500592792,9.821143709,1.171563962,2.231068449,1.466088938,2.411101222,-0.779229778
Kris Bryant,,25,CHC,3B,2,4,1,9.86588E-10,8,8,6.437299629,9.757850547,0.342755397,1.861565709,2.190339365,1.930786837,0.111852322
Clayton Kershaw,,29,LAD,SP,1,6,1,0.000232629,2,1,12.31569143,15.44902254,1.582569868,-0.483225038,1.890706816,4.700042013,4.625597775
Paul Goldschmidt,,29,ARI,1B,1,7,1,3.39767E-06,9,10,6.034875951,8.731671228,1.113211985,0.776013322,1.3458533,1.584037656,1.215759688
Manny Machado,,24,BAL,3B,4,8,1,0.00042906,3,12,5.436370588,8.756921505,1.169871543,1.787990704,1.480731874,1.352394958,-0.354618492
Bryce Harper,,24,WAS,OF,4,9,1,0.032434935,12,17,4.826081647,8.122920461,0.49017882,1.336906697,1.246467074,1.241378366,0.511150691
Josh Donaldson,,31,TOR,3B,3,10,1,0.083085052,10,11,5.929267583,9.249818501,0.366316195,1.632295182,2.1628309,2.207542384,-0.439717077
Anthony Rizzo,,27,CHC,1B,3,11,1,0.211855399,11,18,4.796067012,7.492862289,0.512501326,1.269476049,1.35213781,1.898138378,-0.236186552
Max Scherzer,,32,WAS,SP,2,12,1,0.397096548,7,3,8.755096125,11.88842723,1.630811833,-0.483225038,2.298249351,2.539220227,2.770039752
Miguel Cabrera,,33,DET,1B,2,13,2,0.5,6,14,5.188817349,7.885612626,2.221279673,1.333943258,1.02577368,1.551772862,-0.943952123
Trea Turner,,23,WAS,2B,2,14,2,0.623918846,16,24,3.525194904,6.972292249,1.404220885,-0.984520613,1.012357174,-1.046865237,3.140002696
Madison Bumgarner,,27,SF,SP,3,15,2,0.736168977,14,6,6.545212843,9.678543949,1.325441486,-0.483225038,1.52061031,2.105861343,2.076524743
Charlie Blackmon,,30,COL,OF,3,16,2,0.900728603,34,16,4.901333427,8.198172241,1.639718897,0.259737705,1.709074219,-0.150671382,1.443473989
Carlos Correa,,22,HOU,SS,1,17,2,0.873451046,17,31,3.149180958,6.777875715,0.463210393,0.194255824,0.592158022,1.018325337,0.881231382
Corey Seager,,22,LAD,SS,3,18,2,0.894350226,24,35,2.827694286,6.456389043,1.059884495,0.333555613,1.427592611,0.567003874,-0.560342307
Noah Syndergaard,,24,NYM,SP,4,19,2,0.862343557,13,9,6.122034003,9.255365109,0.960367681,-0.483225038,1.575394148,2.410000452,1.659496761
Chris Sale,,28,BOS,SP,5,20,2,0.966081418,18,13,5.268789966,8.402121072,1.463259687,-0.483225038,1.588358751,0.907037072,1.793359494
Joey Votto,,33,CIN,1B,5,21,2,0.951055235,23,39,2.660298181,5.357093459,1.319148462,0.313684227,0.817792444,0.530095739,-0.320422691
Corey Kluber,,30,CLE,SP,6,22,2,0.997759165,19,15,5.10665267,8.239983776,1.326040725,-0.483225038,1.56866002,1.250917486,1.444259478
Edwin Encarnacion,,34,CLE,DH,2,23,2,0.956761867,39,25,3.495016308,6.406266616,-0.462095667,2.023039559,0.91944072,1.853644856,-0.839013161
Francisco Lindor,,23,CLE,SS,2,24,2,0.986096552,27,32,2.994409056,6.623103813,1.460431045,-0.665139252,0.742383104,0.543590534,0.913143624
Starling Marte,,28,PIT,OF,6,25,2,0.977249868,52,37,2.679917014,5.976755828,0.948760307,-1.06698161,-0.190859325,0.001917742,2.9870799
Xander Bogaerts,,24,BOS,SS,4,26,3,0.995338812,48,43,2.349103041,5.977797798,1.151977221,-0.270530442,0.714092293,0.761173978,-0.007610009
