Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Edwin Diaz,Mets,4,3,2.45,0,65,33,65,43,18,5,97,22,1,13.43,3.04,2.36,1.4,1.2,51,14710
Chris Sale,Red Sox,6,5,2.76,32,0,0,1,1,0,0,1,0,0.97,12.26,2.05,2.62,0,0,13.1,10603
Craig Kimbrel,,4,3,2.82,0,65,0,65,44,20,6,98,26,1.08,13.51,3.62,2.75,1.3,1.2,72.4,6655
Dellin Betances,Yankees,5,3,2.86,0,75,2,75,51,24,7,111,33,1.11,13.35,3.95,2.83,1.4,1.5,266.4,6216
Jacob deGrom,Mets,6,5,2.92,32,0,0,1,1,0,0,1,0,1.06,10.93,2.24,2.84,0,0,10.7,10954
Aroldis Chapman,Yankees,4,2,2.75,0,65,31,65,43,20,6,97,29,1.11,13.42,4.02,2.9,1.3,1.3,74.1,10233
Felipe Vazquez,Pirates,4,3,2.94,0,65,31,65,52,21,5,82,23,1.16,11.35,3.2,2.91,1,1,88.1,12076
Josh Hader,Brewers,5,3,2.94,0,80,14,80,54,26,9,121,35,1.11,13.63,3.92,2.97,1.3,1.4,98.5,14212
Andrew Miller,Cardinals,3,2,2.99,0,60,23,60,48,20,5,75,21,1.14,11.32,3.13,2.99,0.8,0.8,207.8,6785
Corey Knebel,Brewers,4,3,3.06,0,65,18,65,47,22,6,92,28,1.16,12.7,3.86,3.01,1,1,131.1,15010
Max Scherzer,Nationals,6,5,3.14,32,0,0,1,1,0,0,1,0,1.04,11.72,2.32,3.04,0,0,4.6,3137
Ray Black,Giants,2,1,3.02,0,30,0,30,21,10,3,42,14,1.18,12.54,4.27,3.09,0.4,0.4,589,14244
Blake Treinen,Athletics,4,3,3.09,0,70,23,70,60,24,5,79,25,1.2,10.11,3.15,3.09,1,1,61,12572
Keone Kela,Pirates,3,3,3.27,0,60,3,60,48,22,6,76,23,1.19,11.4,3.45,3.14,0.9,0.6,462.2,14696
David Robertson,Phillies,4,3,3.23,0,65,21,65,51,23,7,85,25,1.16,11.83,3.42,3.16,0.9,0.8,162,8241
Trevor Rosenthal,Nationals,4,3,3.11,0,65,14,65,51,22,6,84,28,1.21,11.61,3.88,3.16,0.9,0.9,473.4,10745
Diego Castillo,Rays,3,3,3.11,0,60,4,60,48,21,6,74,22,1.16,11.03,3.26,3.16,0.9,0.8,483.4,17496
Will Smith,Giants,3,3,3.1,0,65,18,65,52,22,6,78,24,1.17,10.79,3.31,3.19,0.9,0.9,185.5,8048
Kirby Yates,Padres,3,3,3.25,0,65,28,65,51,23,7,84,22,1.13,11.57,3.1,3.21,0.9,0.8,115.4,9073
Matt Barnes,Red Sox,4,3,3.26,0,65,4,65,51,24,6,82,27,1.21,11.41,3.8,3.22,0.8,1,272,12863
Ryan Pressly,Astros,4,3,3.32,0,65,4,65,55,24,7,78,22,1.18,10.81,3.09,3.25,0.8,0.8,382.2,7005
Justin Verlander,Astros,6,5,3.37,32,0,0,1,1,0,0,1,0,1.06,11.13,2.25,3.28,0,0,20.5,8700
Blake Snell,Rays,6,5,3.23,32,0,0,1,1,0,0,1,0,1.19,11.03,3.56,3.3,0,0,30,13543
Walker Buehler,Dodgers,5,5,3.26,28,0,0,1,1,0,0,1,0,1.18,10.28,2.96,3.3,0,0,39.8,19374
Noah Syndergaard,Mets,6,5,3.52,29,0,0,1,1,0,0,1,0,1.18,9.29,2.36,3.31,0,0,40.8,11762
Jeurys Familia,Mets,3,3,3.29,0,65,2,65,56,24,5,73,26,1.25,10.06,3.6,3.32,0.7,0.6,443.7,5114
Gerrit Cole,Astros,6,5,3.47,32,0,0,1,1,0,0,1,0,1.13,10.85,2.71,3.33,0,0,25.8,13125
Kenley Jansen,Dodgers,4,3,3.35,0,65,38,65,53,24,8,77,16,1.07,10.62,2.25,3.33,0.8,0.6,74.3,3096
Carlos Carrasco,Indians,6,5,3.41,32,0,0,1,1,0,0,1,0,1.13,9.81,2.19,3.34,0,0,36.8,6632
Clayton Kershaw,Dodgers,6,5,3.25,29,0,0,1,1,0,0,1,0,1.13,8.69,1.78,3.35,0,0,41.2,2036
Chad Green,Yankees,4,3,3.34,0,70,0,70,57,26,9,88,20,1.1,11.25,2.6,3.35,1,1,500.1,15552
Joe Kelly,Dodgers,4,3,3.23,0,65,0,65,55,23,6,72,24,1.22,10.03,3.37,3.36,0.7,0.6,547.9,9761
Garrett Richards,Padres,0,0,3.38,0,0,0,1,1,0,0,1,0,1.25,9.73,3.29,3.38,0,0,599.9,9784
Scott Alexander,Dodgers,3,2,3.1,0,50,0,50,46,17,3,47,20,1.31,8.42,3.54,3.38,0.4,0.6,600.9,10591
Corey Kluber,Indians,6,5,3.47,32,0,0,1,1,0,0,1,0,1.12,9.46,1.89,3.39,0,0,23,2429
Sean Doolittle,Nationals,4,3,3.35,0,65,22,65,54,24,8,78,19,1.11,10.77,2.6,3.39,0.8,0.8,100.6,1581
Ryne Stanek,Rays,2,2,3.27,0,40,0,40,31,15,4,52,17,1.19,11.68,3.88,3.39,0.5,0.5,585,15947
Nick Anderson,Marlins,0,0,3.36,0,10,0,10,8,4,1,12,4,1.19,10.53,3.27,3.39,0.1,0.1,999,sa578957
Jose Alvarado,Rays,3,3,3.14,0,60,32,60,47,21,5,74,31,1.3,11.12,4.59,3.4,0.6,0.8,157.2,17780
Archie Bradley,Diamondbacks,4,3,3.53,0,70,11,70,62,27,7,77,25,1.24,9.95,3.15,3.4,0.7,0.6,187,12918
Patrick Corbin,Nationals,6,5,3.4,31,0,0,1,1,0,0,1,0,1.21,9.41,2.61,3.41,0,0,50.7,9323
Seranthony Dominguez,Phillies,3,3,3.36,0,65,12,65,52,24,7,82,28,1.24,11.29,3.92,3.43,0.6,0.6,202,19249
Brandon Morrow,Cubs,3,2,3.44,0,55,31,55,49,21,6,59,18,1.21,9.61,2.94,3.45,0.6,0.5,261.4,9346
